Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
3.322165,1.016950488,-14.75203419,5.915683746,15.92645645
3.332154,0.731921911,-13.28312492,5.416739941,14.36378046
3.342143,0.550799489,-11.1678915,4.861216545,12.19248158
3.352132,0.377647668,-8.403164864,3.929977894,9.284423716
3.362121,0.184777021,-4.544240475,2.409876108,5.147015339
3.37211,-0.127394199,-0.215217203,0.475779921,0.537507451
3.382099,-0.367770582,3.694620371,-1.392440677,3.965396061
3.392088,-0.398535132,6.645516872,-2.683448553,7.177925946
3.402077,-0.35674426,8.515833855,-3.451608896,9.195667278
3.412066,-0.357206851,9.641256332,-3.858968019,10.39100835
3.422055,-0.424609631,10.51162434,-4.083169937,11.28480466
3.432044,-0.656473756,11.66607952,-4.279205799,12.44347104
3.442033,-1.036896706,13.06662273,-4.644016266,13.906066
3.452022,-1.489014149,14.45645809,-5.159962654,15.42178843
3.462011,-1.994417548,15.90520477,-5.683131695,17.0073874
3.472,-2.455478668,17.2285862,-6.145056725,18.45576549
3.481989,-2.756225824,18.13135529,-6.548923969,19.47386018
3.491979,-2.956434011,18.75710487,-6.779821396,20.1627246
3.501968,-2.941718102,19.12479591,-6.881737709,20.53703577
3.511957,-2.610555887,19.09630203,-6.955649853,20.49060317
3.521946,-1.960647345,18.69005966,-6.942411423,20.03395978
3.531935,-1.108909369,17.95892334,-6.805505276,19.23713881
3.541924,-0.220000252,16.52785492,-6.528259754,17.77179124
3.551913,0.535835505,14.48794746,-6.215294361,15.77395402
3.561902,1.007404804,12.22572708,-6.011679173,13.66102315
3.571891,1.323539257,9.709472656,-5.915635586,11.44641253
3.58188,1.408779025,7.338912487,-5.568798542,9.319646562
3.591868792,1.27769208,5.011928082,-4.663319111,6.964083951
3.601857792,1.224210739,2.209629059,-3.305620909,4.160322356
3.611846792,1.272837996,-0.92983377,-1.725616574,2.337190614
3.621835792,1.325413108,-3.682483673,-0.028954128,3.913852865
3.631824792,1.375452518,-5.804078102,1.811647058,6.233879796
3.641813792,1.462965608,-7.503937721,3.709285736,8.4975379
3.651802792,1.549249053,-8.915486336,5.449658871,10.56337309
3.661791792,1.644346237,-10.27910805,7.02289772,12.55726997
